cod_usuario,data_cadastro,faixa_etaria,cidade,estado
60374,2021-06-19,Entre 37 a 49 anos,Ponte Alta do Bom Jesus,Tocantins
28897,2019-10-01,Mais de 70 anos,Parelhas,Rio Grande do Norte
64012,2020-10-03,Entre 28 a 36 anos,Imbuia,Santa Catarina
12196,2019-08-09,Entre 50 a 61 anos,Conceição dos Ouros,Minas Gerais
64350,2020-10-06,Mais de 70 anos,Anagé,Bahia
59751,2020-06-28,Entre 28 a 36 anos,Novo Tiradentes,Rio Grande do Sul
31355,2021-03-20,Entre 16 a 21 anos,Cachoeira do Piriá,Pará
29115,2019-09-28,Entre 10 a 15 anos,São Manuel,São Paulo
19070,2020-12-15,Entre 28 a 36 anos,Água Doce do Norte,Espírito Santo
89277,2020-05-03,Entre 37 a 49 anos,Morro Agudo de Goiás,Goiás
14222,2018-10-25,Entre 50 a 61 anos,Mocajuba,Pará
63826,2018-09-14,Entre 62 a 70 anos,Martinópolis,São Paulo
4020,2019-12-17,Mais de 70 anos,Araioses,Maranhão
85541,2020-03-24,Entre 10 a 15 anos,Anamã,Amazonas
81169,2021-06-02,Entre 16 a 21 anos,Tupãssi,Paraná
42375,2021-05-07,Mais de 70 anos,Santana de Mangueira,Paraíba
6503,2019-09-07,Entre 10 a 15 anos,Bom Jardim,Pernambuco
26268,2021-03-29,Mais de 70 anos,Ouvidor,Goiás
34958,2018-09-05,Entre 62 a 70 anos,Formoso,Minas Gerais
12864,2019-01-22,Mais de 70 anos,Centro Novo do Maranhão,Maranhão
2186,2021-06-27,Entre 62 a 70 anos,Laranjal do Jari,Amapá
77425,2019-01-06,Entre 50 a 61 anos,Canto do Buriti,Piauí
45497,2019-01-19,Entre 62 a 70 anos,Bonfinópolis de Minas,Minas Gerais
92979,2020-12-21,Entre 28 a 36 anos,Itaquiraí,Mato Grosso do Sul
69889,2019-08-22,Entre 62 a 70 anos,Paranapuã,São Paulo
466,2020-04-08,Entre 16 a 21 anos,Pedro Alexandre,Bahia
21726,2020-05-13,Mais de 70 anos,São João do Oriente,Minas Gerais
67782,2019-08-14,Entre 10 a 15 anos,Vespasiano Corrêa,Rio Grande do Sul
64638,2018-07-07,Entre 28 a 36 anos,Fazenda Vilanova,Rio Grande do Sul
26832,2018-03-08,Entre 10 a 15 anos,São Sebastião do Anta,Minas Gerais
56665,2018-01-27,Entre 28 a 36 anos,Vale de São Domingos,Mato Grosso
58576,2019-02-20,Entre 10 a 15 anos,Riacho dos Machados,Minas Gerais
20749,2020-04-22,Entre 50 a 61 anos,Paquetá,Piauí
97950,2020-08-16,Entre 10 a 15 anos,Couto Magalhães,Tocantins
94003,2018-12-16,Entre 22 a 27 anos,São Martinho da Serra,Rio Grande do Sul
25555,2021-01-20,Entre 62 a 70 anos,Esperança,Paraíba
63094,2021-07-14,Entre 10 a 15 anos,Taguatinga,Tocantins
15379,2021-05-21,Entre 50 a 61 anos,Taciba,São Paulo
50473,2018-08-30,Entre 22 a 27 anos,Presidente Prudente,São Paulo
73015,2018-02-25,Mais de 70 anos,Olhos-d'Água,Minas Gerais
75154,2018-09-14,Entre 22 a 27 anos,Constantina,Rio Grande do Sul
87935,2018-03-16,Entre 16 a 21 anos,Comendador Gomes,Minas Gerais
12495,2020-01-30,Entre 16 a 21 anos,Conchas,São Paulo
441,2020-03-16,Entre 28 a 36 anos,Buriti Bravo,Maranhão
51529,2019-07-17,Entre 50 a 61 anos,Senador La Rocque,Maranhão
22751,2019-03-22,Entre 16 a 21 anos,Hugo Napoleão,Piauí
55406,2018-06-27,Entre 28 a 36 anos,Correntes,Pernambuco
65162,2020-07-12,Entre 10 a 15 anos,Chapadinha,Maranhão
51512,2018-04-11,Entre 16 a 21 anos,Caraúbas,Rio Grande do Norte
82760,2019-02-05,Entre 16 a 21 anos,Jaguaré,Espírito Santo
28115,2019-11-22,Mais de 70 anos,São João da Baliza,Roraima
25098,2018-09-11,Entre 16 a 21 anos,Porto Alegre do Norte,Mato Grosso
86566,2021-04-26,Entre 62 a 70 anos,Três Cachoeiras,Rio Grande do Sul
11817,2018-12-24,Mais de 70 anos,Ponto Chique,Minas Gerais
11750,2020-02-09,Entre 62 a 70 anos,Carmolândia,Tocantins
98819,2018-11-05,Entre 22 a 27 anos,Godoy Moreira,Paraná
12077,2018-09-18,Entre 50 a 61 anos,Eirunepé,Amazonas
3040,2021-05-08,Entre 28 a 36 anos,Suzano,São Paulo
64889,2019-08-08,Entre 50 a 61 anos,Ivorá,Rio Grande do Sul
81552,2019-11-14,Entre 10 a 15 anos,Monte Carlo,Santa Catarina
58242,2020-04-25,Entre 16 a 21 anos,Jarinu,São Paulo
58369,2018-11-16,Entre 50 a 61 anos,Alto Araguaia,Mato Grosso
62025,2020-09-24,Entre 10 a 15 anos,Belmonte,Bahia
59144,2018-04-17,Entre 62 a 70 anos,Fartura,São Paulo
33117,2018-07-29,Entre 62 a 70 anos,Tucunduva,Rio Grande do Sul
22864,2020-01-21,Entre 28 a 36 anos,Vitória do Jari,Amapá
51919,2019-12-24,Entre 28 a 36 anos,Dois Lajeados,Rio Grande do Sul
26688,2018-01-26,Entre 37 a 49 anos,Barra Velha,Santa Catarina
56439,2020-09-11,Entre 62 a 70 anos,Vicência,Pernambuco
55587,2020-08-08,Entre 10 a 15 anos,São Pedro do Suaçuí,Minas Gerais
79856,2018-09-01,Entre 22 a 27 anos,Santa Brígida,Bahia
5361,2021-07-08,Entre 37 a 49 anos,Patos de Minas,Minas Gerais
8217,2021-07-27,Mais de 70 anos,Xapuri,Acre
36376,2020-08-24,Entre 37 a 49 anos,Garrafão do Norte,Pará
21118,2019-05-24,Entre 37 a 49 anos,Abre Campo,Minas Gerais
84713,2019-02-20,Mais de 70 anos,Santa Terezinha do Tocantins,Tocantins
90905,2020-06-11,Entre 22 a 27 anos,Esperança Nova,Paraná
70741,2019-11-20,Entre 37 a 49 anos,São Gonçalo do Pará,Minas Gerais
45808,2021-02-28,Entre 28 a 36 anos,Guaribas,Piauí
6910,2021-07-02,Entre 10 a 15 anos,Águas Frias,Santa Catarina
45794,2021-01-27,Entre 22 a 27 anos,Aguiarnópolis,Tocantins
3358,2018-05-14,Entre 22 a 27 anos,Rubiataba,Goiás
14479,2019-01-16,Entre 50 a 61 anos,Ipubi,Pernambuco
56075,2021-07-06,Entre 10 a 15 anos,São Benedito do Rio Preto,Maranhão
51758,2021-05-02,Entre 10 a 15 anos,Oiapoque,Amapá
40588,2018-02-25,Entre 16 a 21 anos,Luiziânia,São Paulo
57556,2020-03-08,Entre 22 a 27 anos,Senador Alexandre Costa,Maranhão
93751,2019-02-06,Entre 10 a 15 anos,Botumirim,Minas Gerais
91945,2019-10-14,Entre 22 a 27 anos,Tenente Laurentino Cruz,Rio Grande do Norte
57125,2019-03-01,Entre 28 a 36 anos,Guaribas,Piauí
39849,2020-02-19,Entre 16 a 21 anos,Guapirama,Paraná
67737,2018-10-07,Entre 62 a 70 anos,Abreulândia,Tocantins
55146,2018-03-09,Entre 16 a 21 anos,Rio dos Índios,Rio Grande do Sul
81380,2020-05-26,Mais de 70 anos,Sumaré,São Paulo
13619,2019-06-22,Entre 28 a 36 anos,Trombudo Central,Santa Catarina
32421,2020-12-28,Entre 62 a 70 anos,Jacaré dos Homens,Alagoas
79295,2019-05-30,Mais de 70 anos,São João Batista,Maranhão
16803,2019-09-25,Entre 37 a 49 anos,Pinheirinho do Vale,Rio Grande do Sul
88997,2020-10-15,Entre 10 a 15 anos,Rodeiro,Minas Gerais
57317,2019-02-23,Entre 50 a 61 anos,São João do Manteninha,Minas Gerais
97776,2020-09-01,Entre 10 a 15 anos,Tanguá,Rio de Janeiro
85419,2019-03-10,Entre 16 a 21 anos,Manoel Viana,Rio Grande do Sul
73871,2020-08-25,Entre 16 a 21 anos,Lupércio,São Paulo
53620,2018-05-02,Mais de 70 anos,Japaratuba,Sergipe
18290,2018-08-10,Entre 22 a 27 anos,Bom Jesus,Rio Grande do Sul
37116,2020-12-19,Entre 10 a 15 anos,Santa Rita de Jacutinga,Minas Gerais
23955,2020-09-27,Entre 28 a 36 anos,Campo Novo de Rondônia,Rondônia
3400,2018-07-24,Entre 22 a 27 anos,Bom Jesus da Serra,Bahia
63707,2018-02-24,Entre 22 a 27 anos,Modelo,Santa Catarina
86980,2020-08-04,Entre 62 a 70 anos,Igaratinga,Minas Gerais
50565,2018-12-12,Mais de 70 anos,Camaçari,Bahia
37128,2019-06-30,Mais de 70 anos,Demerval Lobão,Piauí
27119,2019-07-14,Entre 28 a 36 anos,Manacapuru,Amazonas
8497,2018-04-27,Entre 10 a 15 anos,São Benedito,Ceará
51192,2021-05-25,Entre 50 a 61 anos,Porciúncula,Rio de Janeiro
6096,2020-02-04,Entre 28 a 36 anos,Equador,Rio Grande do Norte
93157,2021-04-06,Mais de 70 anos,Alto Taquari,Mato Grosso
7705,2021-07-07,Entre 28 a 36 anos,Quixeré,Ceará
92447,2019-10-18,Mais de 70 anos,Divisópolis,Minas Gerais
33441,2021-07-11,Entre 10 a 15 anos,Abelardo Luz,Santa Catarina
77799,2020-05-27,Entre 62 a 70 anos,Gramado,Rio Grande do Sul
87568,2018-05-27,Entre 50 a 61 anos,Piraju,São Paulo
21689,2021-06-04,Entre 16 a 21 anos,Espera Feliz,Minas Gerais
64566,2018-04-03,Entre 22 a 27 anos,Veredinha,Minas Gerais
10197,2020-03-15,Entre 22 a 27 anos,Independência,Rio Grande do Sul
54427,2019-10-18,Mais de 70 anos,Itaueira,Piauí
81206,2020-02-10,Entre 10 a 15 anos,Senador Elói de Souza,Rio Grande do Norte
73791,2021-02-28,Entre 22 a 27 anos,Areal,Rio de Janeiro
81778,2021-03-31,Entre 10 a 15 anos,São Francisco do Piauí,Piauí
83298,2021-04-20,Mais de 70 anos,São Carlos,São Paulo
33014,2018-04-01,Mais de 70 anos,Cândido Mendes,Maranhão
75636,2020-03-13,Entre 50 a 61 anos,São Domingos do Maranhão,Maranhão
7152,2020-07-31,Entre 28 a 36 anos,Uru,São Paulo
28197,2018-06-07,Entre 10 a 15 anos,Ponto Belo,Espírito Santo
21298,2020-07-11,Entre 16 a 21 anos,São João d'Aliança,Goiás
74262,2019-01-26,Mais de 70 anos,Tupanci do Sul,Rio Grande do Sul
33542,2020-05-16,Mais de 70 anos,Iporã,Paraná
92771,2018-01-02,Mais de 70 anos,Barão de Cocais,Minas Gerais
43696,2021-02-25,Mais de 70 anos,Pequizeiro,Tocantins
59457,2020-11-17,Entre 22 a 27 anos,Cardeal da Silva,Bahia
91897,2019-07-16,Entre 50 a 61 anos,Aurora do Pará,Pará
44035,2018-12-04,Mais de 70 anos,Gentio do Ouro,Bahia
30196,2019-02-19,Mais de 70 anos,Conceição das Alagoas,Minas Gerais
33466,2021-01-04,Entre 62 a 70 anos,Perdizes,Minas Gerais
58901,2019-12-21,Entre 22 a 27 anos,Timbé do Sul,Santa Catarina
85105,2019-10-07,Entre 50 a 61 anos,Aiuruoca,Minas Gerais
92477,2019-04-15,Entre 37 a 49 anos,Herculândia,São Paulo
11293,2021-06-28,Mais de 70 anos,Limoeiro do Norte,Ceará
86270,2021-02-19,Entre 10 a 15 anos,Barra do Choça,Bahia
2551,2018-11-29,Entre 22 a 27 anos,Treze de Maio,Santa Catarina
69756,2019-01-17,Entre 62 a 70 anos,Piquet Carneiro,Ceará
41128,2021-06-11,Entre 22 a 27 anos,Licínio de Almeida,Bahia
60992,2019-06-27,Entre 28 a 36 anos,São Vicente Férrer,Pernambuco
99387,2019-07-24,Entre 37 a 49 anos,Sanharó,Pernambuco
38031,2018-03-01,Entre 28 a 36 anos,Pedra Grande,Rio Grande do Norte
34111,2018-01-22,Entre 62 a 70 anos,Treze Tílias,Santa Catarina
83115,2018-07-01,Entre 10 a 15 anos,Campos Altos,Minas Gerais
41001,2018-01-11,Entre 50 a 61 anos,Crateús,Ceará
45100,2020-02-18,Entre 22 a 27 anos,Ibiraiaras,Rio Grande do Sul
75016,2019-08-25,Mais de 70 anos,Ribeirão Preto,São Paulo
26795,2021-03-24,Entre 37 a 49 anos,Flórida,Paraná
55539,2019-08-04,Entre 37 a 49 anos,Codajás,Amazonas
86132,2019-04-11,Entre 10 a 15 anos,Camaçari,Bahia
91618,2019-05-30,Entre 28 a 36 anos,Taboleiro Grande,Rio Grande do Norte
124,2020-12-17,Entre 28 a 36 anos,Curral de Dentro,Minas Gerais
19161,2019-01-02,Entre 37 a 49 anos,São João da Barra,Rio de Janeiro
34404,2020-12-10,Entre 62 a 70 anos,Lagoa Grande,Minas Gerais
7944,2019-05-12,Entre 10 a 15 anos,Vargem Grande do Sul,São Paulo
54671,2019-06-06,Entre 28 a 36 anos,Junco do Seridó,Paraíba
60293,2018-09-09,Entre 22 a 27 anos,Armazém,Santa Catarina
20573,2019-01-25,Entre 28 a 36 anos,Lagoa Santa,Goiás
54882,2018-02-16,Entre 50 a 61 anos,Alagoinha,Pernambuco
53101,2021-03-17,Entre 22 a 27 anos,Solidão,Pernambuco
59476,2019-01-12,Entre 22 a 27 anos,Mutuípe,Bahia
68444,2018-10-23,Entre 28 a 36 anos,Motuca,São Paulo
31692,2020-04-29,Entre 37 a 49 anos,Poço das Trincheiras,Alagoas
71683,2020-09-30,Entre 62 a 70 anos,Santa Cruz Cabrália,Bahia
87866,2018-05-22,Entre 37 a 49 anos,Natividade,Rio de Janeiro
20722,2020-07-26,Entre 28 a 36 anos,Monte Horebe,Paraíba
66395,2018-06-11,Entre 37 a 49 anos,Ielmo Marinho,Rio Grande do Norte
1769,2018-12-14,Entre 37 a 49 anos,Lindóia,São Paulo
91828,2019-11-28,Entre 62 a 70 anos,Funilândia,Minas Gerais
39678,2021-04-10,Entre 10 a 15 anos,Marianópolis do Tocantins,Tocantins
23942,2018-08-18,Entre 50 a 61 anos,São Bento do Una,Pernambuco
78708,2019-07-28,Mais de 70 anos,Bom Repouso,Minas Gerais
60312,2020-04-20,Entre 10 a 15 anos,Madeiro,Piauí
6717,2020-01-31,Entre 37 a 49 anos,Linhares,Espírito Santo
14884,2021-06-18,Entre 28 a 36 anos,Pelotas,Rio Grande do Sul
61510,2018-01-19,Entre 28 a 36 anos,Atalaia do Norte,Amazonas
56770,2018-02-01,Entre 22 a 27 anos,São Félix do Xingu,Pará
60355,2019-05-13,Entre 62 a 70 anos,Ipaba,Minas Gerais
66127,2019-01-12,Entre 22 a 27 anos,Porto Velho,Rondônia
74097,2019-11-16,Entre 16 a 21 anos,Nova Independência,São Paulo
78492,2018-07-21,Mais de 70 anos,Cajuri,Minas Gerais
89738,2021-07-13,Entre 37 a 49 anos,Douradina,Paraná
46559,2021-03-04,Entre 62 a 70 anos,Varjota,Ceará
8417,2018-07-01,Entre 22 a 27 anos,Raposos,Minas Gerais
20616,2020-08-17,Mais de 70 anos,Serrolândia,Bahia
91203,2020-07-08,Entre 50 a 61 anos,Sabáudia,Paraná
43917,2018-03-06,Entre 10 a 15 anos,Bragança,Pará
44129,2021-05-09,Entre 10 a 15 anos,Cabo Verde,Minas Gerais
32724,2019-08-04,Entre 37 a 49 anos,Caiçara do Norte,Rio Grande do Norte
52984,2018-07-17,Entre 37 a 49 anos,Ibiassucê,Bahia
23497,2018-04-13,Mais de 70 anos,Ariranha,São Paulo
24334,2019-10-22,Entre 50 a 61 anos,São Francisco,Minas Gerais
66406,2020-04-12,Entre 16 a 21 anos,Wenceslau Braz,Minas Gerais
21610,2020-12-17,Entre 62 a 70 anos,Palmeira dos Índios,Alagoas
75904,2021-05-19,Mais de 70 anos,Barão de Grajaú,Maranhão
59601,2018-06-16,Entre 50 a 61 anos,Pau D'Arco do Piauí,Piauí
16301,2018-06-28,Entre 37 a 49 anos,Bezerros,Pernambuco
22318,2020-07-03,Entre 62 a 70 anos,Itabaiana,Sergipe
82227,2021-03-18,Entre 62 a 70 anos,Nazaré Paulista,São Paulo
52576,2018-03-31,Entre 16 a 21 anos,Ipiranga,Paraná
32808,2020-05-12,Entre 28 a 36 anos,Turuçu,Rio Grande do Sul
76371,2020-11-27,Mais de 70 anos,Iracema,Roraima
72180,2019-10-10,Mais de 70 anos,Conceição do Rio Verde,Minas Gerais
82697,2019-10-14,Entre 16 a 21 anos,São Francisco de Paula,Rio Grande do Sul
5728,2021-04-27,Entre 28 a 36 anos,Macatuba,São Paulo
72107,2018-10-30,Entre 10 a 15 anos,Balneário Gaivota,Santa Catarina
69364,2020-11-19,Entre 16 a 21 anos,Rubiácea,São Paulo
47077,2018-07-27,Entre 22 a 27 anos,Ajuricaba,Rio Grande do Sul
7313,2018-10-27,Mais de 70 anos,Queimada Nova,Piauí
62803,2021-03-26,Entre 37 a 49 anos,Cacoal,Rondônia
69662,2018-02-03,Entre 50 a 61 anos,Maraã,Amazonas
156,2019-03-18,Entre 16 a 21 anos,Porto Nacional,Tocantins
52096,2021-02-25,Entre 16 a 21 anos,Flórida,Paraná
80364,2018-10-27,Entre 37 a 49 anos,Pato Bragado,Paraná
22328,2019-06-07,Entre 22 a 27 anos,Hidrolândia,Goiás
48929,2019-02-01,Entre 50 a 61 anos,São José dos Campos,São Paulo
39596,2018-02-03,Entre 22 a 27 anos,Saúde,Bahia
26872,2020-05-04,Entre 28 a 36 anos,Monjolos,Minas Gerais
17666,2018-11-30,Mais de 70 anos,Tigrinhos,Santa Catarina
20696,2020-08-28,Entre 22 a 27 anos,Guarulhos,São Paulo
65528,2018-02-05,Entre 16 a 21 anos,Gentio do Ouro,Bahia
93871,2021-05-17,Entre 28 a 36 anos,Sarapuí,São Paulo
1878,2020-05-21,Entre 50 a 61 anos,Simolândia,Goiás
29962,2018-08-13,Entre 50 a 61 anos,Rio de Contas,Bahia
11394,2020-05-20,Entre 28 a 36 anos,Redentora,Rio Grande do Sul
58245,2019-01-12,Entre 10 a 15 anos,Castilho,São Paulo
79977,2020-04-11,Entre 16 a 21 anos,Arauá,Sergipe
71714,2018-11-04,Entre 16 a 21 anos,Suzano,São Paulo
39866,2021-06-30,Entre 22 a 27 anos,Colombo,Paraná
17381,2018-11-24,Mais de 70 anos,São Vicente de Minas,Minas Gerais
15899,2018-11-03,Entre 28 a 36 anos,Lajeado,Tocantins
86459,2021-01-14,Entre 62 a 70 anos,Colorado do Oeste,Rondônia
35325,2018-07-06,Entre 50 a 61 anos,Ivorá,Rio Grande do Sul
15831,2019-12-18,Entre 37 a 49 anos,São Sebastião do Paraíso,Minas Gerais
26243,2020-08-17,Entre 22 a 27 anos,Alexânia,Goiás
34551,2019-07-26,Entre 37 a 49 anos,Cocalzinho de Goiás,Goiás
10958,2020-11-26,Entre 62 a 70 anos,São Lourenço do Sul,Rio Grande do Sul
7142,2018-09-16,Entre 62 a 70 anos,Abaetetuba,Pará
45085,2019-07-18,Entre 10 a 15 anos,Lebon Régis,Santa Catarina
2274,2018-11-21,Entre 62 a 70 anos,Araranguá,Santa Catarina
52481,2021-05-17,Entre 28 a 36 anos,Tacima,Paraíba
77180,2019-07-28,Entre 37 a 49 anos,Água Branca,Alagoas
69274,2018-11-03,Entre 50 a 61 anos,Lago Verde,Maranhão
96319,2018-01-10,Entre 16 a 21 anos,Queimados,Rio de Janeiro
55573,2018-11-06,Entre 10 a 15 anos,Tijucas do Sul,Paraná
53475,2020-11-25,Entre 50 a 61 anos,Nova Olímpia,Mato Grosso
97329,2020-09-08,Entre 62 a 70 anos,Itapetim,Pernambuco
56873,2018-09-01,Mais de 70 anos,Cristiano Otoni,Minas Gerais
87522,2019-06-03,Mais de 70 anos,Pingo-d'Água,Minas Gerais
31688,2019-11-26,Entre 16 a 21 anos,Estância Velha,Rio Grande do Sul
20407,2019-06-22,Entre 62 a 70 anos,Rio Espera,Minas Gerais
16004,2021-06-20,Entre 22 a 27 anos,Lagoa do Barro do Piauí,Piauí
76192,2020-06-16,Entre 10 a 15 anos,Fagundes,Paraíba
63756,2019-04-26,Entre 28 a 36 anos,Tutóia,Maranhão
69280,2020-06-08,Entre 62 a 70 anos,Porto dos Gaúchos,Mato Grosso
58203,2021-01-08,Entre 28 a 36 anos,São Gabriel,Rio Grande do Sul
2910,2020-08-07,Entre 16 a 21 anos,Chiador,Minas Gerais
13149,2020-11-03,Mais de 70 anos,Caibi,Santa Catarina
40615,2021-04-12,Entre 16 a 21 anos,Tarumirim,Minas Gerais
16951,2021-02-16,Entre 22 a 27 anos,Ponta Grossa,Paraná
58490,2020-09-13,Entre 16 a 21 anos,Santa Amélia,Paraná
20202,2021-05-12,Mais de 70 anos,Vila Valério,Espírito Santo
26400,2018-07-24,Entre 22 a 27 anos,Porto Real do Colégio,Alagoas
47660,2020-07-12,Mais de 70 anos,Matrinchã,Goiás
6530,2018-08-12,Entre 28 a 36 anos,Porto Alegre do Piauí,Piauí
25792,2019-06-30,Mais de 70 anos,Aiuruoca,Minas Gerais
17504,2019-04-19,Entre 10 a 15 anos,Sabino,São Paulo
56781,2020-12-27,Entre 16 a 21 anos,Dois Riachos,Alagoas
3499,2019-12-17,Entre 10 a 15 anos,Jacuí,Minas Gerais
89534,2020-08-28,Entre 50 a 61 anos,Embaúba,São Paulo
94566,2019-11-16,Entre 16 a 21 anos,Conselheiro Pena,Minas Gerais
54835,2018-03-07,Entre 10 a 15 anos,Pedro Leopoldo,Minas Gerais
30838,2020-03-29,Entre 28 a 36 anos,Arambaré,Rio Grande do Sul
3754,2021-05-16,Entre 28 a 36 anos,Alcantil,Paraíba
74309,2020-03-29,Entre 62 a 70 anos,Escada,Pernambuco
37393,2020-02-18,Entre 37 a 49 anos,Wagner,Bahia
12479,2021-06-18,Entre 22 a 27 anos,Itupiranga,Pará
65985,2018-11-24,Entre 62 a 70 anos,São Salvador do Tocantins,Tocantins
34858,2020-10-15,Entre 10 a 15 anos,Paulista,Pernambuco
56564,2020-05-13,Mais de 70 anos,São José do Cedro,Santa Catarina
18843,2019-05-12,Entre 62 a 70 anos,Aracaju,Sergipe
52154,2019-04-29,Entre 16 a 21 anos,Capela de Santana,Rio Grande do Sul
94978,2018-12-09,Mais de 70 anos,Ouro Verde de Goiás,Goiás
58062,2019-03-20,Entre 62 a 70 anos,Tapera,Rio Grande do Sul
10531,2020-11-13,Mais de 70 anos,Fernão,São Paulo
98602,2021-01-07,Entre 10 a 15 anos,Alto Alegre,Rio Grande do Sul
43355,2018-01-28,Entre 50 a 61 anos,Porto Calvo,Alagoas
83553,2018-01-26,Entre 50 a 61 anos,Brasilândia,Mato Grosso do Sul
30640,2020-04-13,Entre 28 a 36 anos,Itaú de Minas,Minas Gerais
93084,2019-01-11,Entre 10 a 15 anos,Cajobi,São Paulo
33165,2018-11-03,Entre 37 a 49 anos,Juvenília,Minas Gerais
40885,2019-04-25,Mais de 70 anos,Araguaiana,Mato Grosso
65219,2018-06-11,Entre 50 a 61 anos,Naviraí,Mato Grosso do Sul
49684,2020-10-08,Entre 62 a 70 anos,Jucás,Ceará
27038,2019-12-27,Entre 37 a 49 anos,Tapejara,Paraná
72697,2020-09-04,Mais de 70 anos,Entre Rios de Minas,Minas Gerais
30232,2018-05-12,Entre 62 a 70 anos,Peixe,Tocantins
48012,2019-03-31,Entre 10 a 15 anos,Aragoiânia,Goiás
80637,2021-07-14,Entre 28 a 36 anos,Itanhangá,Mato Grosso
60577,2020-03-09,Entre 37 a 49 anos,Rio Bananal,Espírito Santo
88143,2019-09-02,Entre 50 a 61 anos,Luzinópolis,Tocantins
59618,2019-12-24,Entre 62 a 70 anos,Rondolândia,Mato Grosso
32176,2018-02-24,Entre 50 a 61 anos,Caxingó,Piauí
83890,2019-10-26,Mais de 70 anos,São Pedro do Butiá,Rio Grande do Sul
88432,2018-06-17,Entre 37 a 49 anos,Pesqueira,Pernambuco
50846,2018-10-25,Entre 28 a 36 anos,Nova Santa Helena,Mato Grosso
52662,2020-07-04,Entre 22 a 27 anos,Arandu,São Paulo
28006,2019-08-06,Entre 37 a 49 anos,Patrocínio,Minas Gerais
93229,2019-04-13,Mais de 70 anos,Mostardas,Rio Grande do Sul
50588,2018-05-26,Entre 62 a 70 anos,Castanhal,Pará
68113,2019-05-01,Entre 62 a 70 anos,Barra de São Miguel,Paraíba
10237,2019-05-08,Entre 10 a 15 anos,Novo Itacolomi,Paraná
13545,2019-04-25,Entre 50 a 61 anos,Italva,Rio de Janeiro
53929,2020-05-20,Entre 28 a 36 anos,Penalva,Maranhão
60071,2018-12-27,Entre 37 a 49 anos,Galinhos,Rio Grande do Norte
71549,2020-03-29,Entre 50 a 61 anos,São Pedro da União,Minas Gerais
90709,2021-02-22,Entre 10 a 15 anos,São José do Rio Preto,São Paulo
14278,2019-12-08,Entre 10 a 15 anos,Tenente Laurentino Cruz,Rio Grande do Norte
27587,2018-02-17,Entre 50 a 61 anos,Rubiácea,São Paulo
85411,2020-07-10,Entre 50 a 61 anos,Anicuns,Goiás
7716,2019-02-07,Entre 62 a 70 anos,São José do Sul,Rio Grande do Sul
41996,2019-11-10,Entre 22 a 27 anos,Nova Olinda do Norte,Amazonas
35575,2019-06-21,Entre 22 a 27 anos,Capela,Sergipe
13962,2018-10-27,Entre 62 a 70 anos,Guiratinga,Mato Grosso
97792,2018-01-25,Entre 37 a 49 anos,Camanducaia,Minas Gerais
1974,2018-04-17,Entre 22 a 27 anos,Vila Nova do Piauí,Piauí
51810,2018-05-29,Entre 62 a 70 anos,Cordeiro,Rio de Janeiro
71975,2019-07-21,Entre 50 a 61 anos,Itagi,Bahia
59303,2020-08-09,Entre 62 a 70 anos,Água Azul do Norte,Pará
74326,2020-02-17,Entre 37 a 49 anos,Santana do Piauí,Piauí
70004,2019-09-13,Entre 16 a 21 anos,Careiro da Várzea,Amazonas
79656,2021-01-25,Entre 16 a 21 anos,Serra do Ramalho,Bahia
153,2020-02-29,Entre 37 a 49 anos,Santiago,Rio Grande do Sul
41032,2020-10-20,Entre 62 a 70 anos,Parauapebas,Pará
73666,2020-04-06,Entre 10 a 15 anos,Leandro Ferreira,Minas Gerais
84336,2021-01-29,Entre 50 a 61 anos,Nilo Peçanha,Bahia
93591,2020-12-18,Entre 37 a 49 anos,Itapetininga,São Paulo
52893,2018-08-23,Entre 28 a 36 anos,Tesouro,Mato Grosso
72033,2020-06-05,Entre 10 a 15 anos,Acorizal,Mato Grosso
44638,2019-06-22,Entre 28 a 36 anos,Cerejeiras,Rondônia
97274,2019-03-27,Entre 10 a 15 anos,Aroazes,Piauí
18910,2020-02-29,Entre 16 a 21 anos,Dona Emma,Santa Catarina
17977,2019-09-27,Entre 62 a 70 anos,Martins,Rio Grande do Norte
48978,2021-04-23,Entre 37 a 49 anos,Simão Dias,Sergipe
97892,2021-06-04,Entre 28 a 36 anos,Itaocara,Rio de Janeiro
89456,2021-04-12,Entre 22 a 27 anos,Santo Ângelo,Rio Grande do Sul
87798,2019-11-29,Entre 62 a 70 anos,Dolcinópolis,São Paulo
66271,2018-11-12,Entre 22 a 27 anos,Touros,Rio Grande do Norte
1676,2020-02-09,Entre 22 a 27 anos,Indiaporã,São Paulo
18658,2021-06-14,Entre 16 a 21 anos,Turvo,Santa Catarina
5961,2020-09-24,Mais de 70 anos,Salto do Lontra,Paraná
34881,2021-01-23,Entre 62 a 70 anos,Joanópolis,São Paulo
26538,2020-07-08,Entre 62 a 70 anos,Ibitiúra de Minas,Minas Gerais
24420,2020-07-16,Entre 62 a 70 anos,Nova Santa Rosa,Paraná
7458,2019-12-09,Entre 16 a 21 anos,Bom Princípio,Rio Grande do Sul
54651,2021-03-19,Entre 28 a 36 anos,Fernandes Tourinho,Minas Gerais
76160,2021-01-10,Entre 28 a 36 anos,Santana do Jacaré,Minas Gerais
52833,2019-07-17,Entre 37 a 49 anos,Osasco,São Paulo
18417,2020-10-02,Entre 37 a 49 anos,Campestre,Alagoas
